Species	Species_reli	Room 3	Room 3_reli	Room 4	Room 4_reli	Dyad	Dyad_reli	Phase	Phase_reli	Session	Day_reli	Einzel	Session_reli	Trial	Trial_reli	Tube Room 3	2_reli	Nonsocial Room 3	Nonsocial Room 3_reli	Spaghetti Tube 4	Spaghetti Tube_reli	Nonsocial Room 4	Nonsocial Room 4_reli	Tool from 3 to 4	Tool from 3 to 4_reli	Tool in Apparatus	Tool in Apparatus_reli	Absolute	Absolute_reli	Relative	Relative_reli	Chronology	Chronology_reli	Bodychange	Bodychange_reli	Presence	Presence_reli	Receiverabsolute	Receiverabsolute_reli	Effort	Effort_reli	Gestures	Gestures_reli	Comment	Gesture_code1	Gesture_code2
Orangutan	Orangutan	Pini	Pini	Padana	Padana	Pini_Padana	Pini_Padana	Test	Test	5	5	2	2	1	1	High	High	High	High	Nothing	Nothing	Low	Low	No	No	/	/	/	/	/	/	receiver	receiver	no	no	yes	yes	mixed	mixed	/	/	no	no		0	0
Orangutan	Orangutan	Pini	Pini	Padana	Padana	Pini_Padana	Pini_Padana	Test	Test	5	5	2	2	2	2	High	High	High	High	High	High	Low	Low	No	No	/	/	/	/	/	/	receiver	receiver	no	no	yes	yes	above	mixed	/	/	no	no		0	0
Orangutan	Orangutan	Pini	Pini	Padana	Padana	Pini_Padana	Pini_Padana	Test	Test	5	5	2	2	3	3	High	High	Low	Low	High	High	High	High	No	No	/	/	/	/	/	/	receiver	receiver	no	no	yes	yes	mixed	mixed	/	/	no	no		0	0
Orangutan	Orangutan	Pini	Pini	Padana	Padana	Pini_Padana	Pini_Padana	Test	Test	5	5	2	2	4	4	High	High	High	High	Nothing	Nothing	High	High	No	No	/	/	/	/	/	/	receiver	receiver	no	no	yes	yes	mixed	mixed	/	/	no	no		0	0
Orangutan	Orangutan	Pini	Pini	Padana	Padana	Pini_Padana	Pini_Padana	Test	Test	5	5	2	2	5	5	High	High	Low	Low	Nothing	Nothing	High	High	No	No	/	/	/	/	/	/	receiver	receiver	no	no	yes	yes	above	above	/	/	no	no		0	0
Orangutan	Orangutan	Pini	Pini	Padana	Padana	Pini_Padana	Pini_Padana	Test	Test	5	5	2	2	6	6	High	High	High	High	High	High	High	High	No	No	/	/	/	/	/	/	receiver	receiver	arm up	no	yes	yes	mixed	below	/	/	no	no		0	0
Orangutan	Orangutan	Pini	Pini	Padana	Padana	Pini_Padana	Pini_Padana	Test	Test	5	5	2	2	7	7	High	High	Low	Low	High	High	Low	Low	No	No	/	/	/	/	/	/	receiver	receiver	arm up	no	yes	yes	above	above	/	/	no	no		0	0
Orangutan	Orangutan	Pini	Pini	Padana	Padana	Pini_Padana	Pini_Padana	Test	Test	5	5	2	2	8	8	High	High	Low	Low	Nothing	Nothing	Low	Low	No	No	/	/	/	/	/	/	receiver	receiver	arm up	no	yes	yes	above	mixed	/	/	no	no		0	0
Orangutan	Orangutan	Dokana	Dokana	Padana	Padana	Dokana_Padana	Dokana_Padana	Test	Test	5	5	2	2	1	1	High	High	High	High	Nothing	Nothing	Low	Low	No	No	/	/	/	/	/	/	both	none	arm up	no	yes	yes	mixed	mixed	/	/	no	no		0	0
Orangutan	Orangutan	Dokana	Dokana	Padana	Padana	Dokana_Padana	Dokana_Padana	Test	Test	5	5	2	2	2	2	High	High	High	High	High	High	Low	Low	No	No	/	/	/	/	/	/	receiver	receiver	arm up	no	yes	yes	above	mixed	/	/	no	no		0	0
