Species	Room 3	Room 4	Dyad	Phase	Day	Session	Trial	Tube Room 3	Nonsocial Room 3	Spaghetti Tube	Nonsocial Room 4	tool_trans	tool_intube	Tool nach passing	Tool nach success	Absolute	Relative	Highpass	Bodychange_cat	Presence	Receiverabsolute	Effort_cat	BeggingGestures	AttgetObeg
Orangutan	Padana	Pini	Padana_Pini	Test	1	1	1	High	Low	Nothing	Low	1	0	 	 	below	above	1	0	yes	mixed	0	no	no
Orangutan	Padana	Pini	Padana_Pini	Test	1	1	2	High	Low	High	Low	1	1	yes	no	below	above	1	1	yes	mixed	0	no	no
Orangutan	Padana	Pini	Padana_Pini	Test	1	1	3	High	Low	Nothing	High	1	0	yes	yes	above	above	1	1	yes	below	1	no	no
Orangutan	Padana	Pini	Padana_Pini	Test	1	1	4	High	High	High	High	1	1	yes	no	above	body	1	0	yes	mixed	0	no	no
Orangutan	Padana	Pini	Padana_Pini	Test	1	1	5	High	High	Nothing	Low	1	0	yes	yes	below	body	0	0	yes	below	1	no	no
Orangutan	Padana	Pini	Padana_Pini	Test	1	1	6	High	Low	High	High	1	0	yes	no	below	above	1	0	yes	mixed	1	no	no
Orangutan	Padana	Pini	Padana_Pini	Test	1	1	7	High	High	Nothing	High	0	/	yes	no	/	/	0	0	yes	mixed	/	no	no
Orangutan	Padana	Pini	Padana_Pini	Test	1	1	8	High	High	High	Low	0	/	no	no	/	/	0	0	yes	mixed	/	no	no
Orangutan	Dokana	Pini	Dokana_Pini	Test	1	1	1	High	Low	Nothing	Low	1	0	 	 	below	body	0	0	yes	mixed	0	no	no
Orangutan	Dokana	Pini	Dokana_Pini	Test	1	1	2	High	Low	High	Low	1	1	yes	no	below	body	0	0	yes	below	0	no	no
Orangutan	Dokana	Pini	Dokana_Pini	Test	1	1	3	High	High	High	High	0	/	yes	yes	/	/	0	0	yes	mixed	/	no	no
Orangutan	Dokana	Pini	Dokana_Pini	Test	1	1	4	High	Low	Nothing	High	1	0	no	no	below	body	0	0	yes	below	0	no	no
Orangutan	Dokana	Pini	Dokana_Pini	Test	1	1	5	High	High	Nothing	High	0	/	yes	no	/	/	0	0	yes	below	/	no	no
Orangutan	Dokana	Pini	Dokana_Pini	Test	1	1	6	High	Low	High	High	0	/	no	no	/	/	0	0	yes	below	/	no	no
Orangutan	Dokana	Pini	Dokana_Pini	Test	1	1	7	High	High	High	Low	0	/	no	no	/	/	0	0	yes	below	/	no	no
Orangutan	Dokana	Pini	Dokana_Pini	Test	1	1	8	High	High	Nothing	Low	0	/	no	no	/	/	0	0	yes	below	/	no	no
Orangutan	Pini	Padana	Pini_Padana	Test	2	1	1	High	Low	High	Low	1	1	 	 	below	body	0	1	yes	mixed	1	no	yes
Orangutan	Pini	Padana	Pini_Padana	Test	2	1	2	High	Low	Nothing	High	1	0	yes	yes	below	body	0	0	yes	mixed	1	no	no
Orangutan	Pini	Padana	Pini_Padana	Test	2	1	3	High	Low	Nothing	Low	0	/	yes	no	/	/	0	0	yes	below	/	no	no
Orangutan	Pini	Padana	Pini_Padana	Test	2	1	4	High	Low	High	High	0	/	no	no	/	/	0	0	yes	mixed	/	no	no
Orangutan	Pini	Padana	Pini_Padana	Test	2	1	5	High	High	High	High	0	/	no	no	/	/	0	0	yes	mixed	/	no	no
Orangutan	Pini	Padana	Pini_Padana	Test	2	1	6	High	High	Nothing	Low	0	/	no	no	/	/	0	0	yes	mixed	/	no	no
Orangutan	Pini	Padana	Pini_Padana	Test	2	1	7	High	High	Nothing	High	0	/	no	no	/	/	0	0	yes	mixed	/	no	no
Orangutan	Pini	Padana	Pini_Padana	Test	2	1	8	High	High	High	Low	0	/	no	no	/	/	0	0	yes	mixed	/	no	no
Orangutan	Dokana	Padana	Dokana_Padana	Test	2	1	1	High	Low	High	Low	1	0	 	 	below	body	0	0	yes	mixed	0	no	no
Orangutan	Dokana	Padana	Dokana_Padana	Test	2	1	2	High	Low	Nothing	High	0	/	yes	no	/	/	0	0	yes	mixed	/	no	yes
Orangutan	Dokana	Padana	Dokana_Padana	Test	2	1	3	High	Low	Nothing	Low	0	/	no	no	/	/	0	0	yes	mixed	/	no	no
Orangutan	Dokana	Padana	Dokana_Padana	Test	2	1	4	High	Low	High	High	1	0	no	no	below	body	0	0	yes	mixed	0	no	no
Orangutan	Dokana	Padana	Dokana_Padana	Test	2	1	5	High	High	High	High	0	/	yes	no	/	/	0	0	yes	mixed	/	no	no
Orangutan	Dokana	Padana	Dokana_Padana	Test	2	1	6	High	High	Nothing	Low	0	/	no	no	/	/	0	0	yes	below	/	no	no
Orangutan	Dokana	Padana	Dokana_Padana	Test	2	1	7	High	High	Nothing	High	0	/	no	no	/	/	0	0	yes	mixed	/	no	no
Orangutan	Dokana	Padana	Dokana_Padana	Test	2	1	8	High	High	High	Low	0	/	no	no	/	/	0	0	yes	mixed	/	no	no
